Price,Year,Make,Model ,Odometer,Color
16416.46,2021,Toyota,Corolla,8755,Silver
14736.35,2021,Toyota,Corolla,18926,Silver
16088.18,2021,Toyota,Corolla,15039,Silver
15366.6,2021,Toyota,Corolla,12704,Silver
16598.61,2021,Toyota,Corolla,11933,Silver
17440.54,2021,Toyota,Corolla,15149,Silver
16272.35,2021,Toyota,Corolla,11858,Silver
16502.23,2021,Toyota,Corolla,8105,Silver
16715.76,2021,Toyota,Corolla,17650,Silver
16152.16,2021,Toyota,Corolla,19513,Silver
16905.41,2021,Toyota,Corolla,10746,Silver
16351.25,2021,Toyota,Corolla,14332,Silver
16291.74,2021,Toyota,Corolla,11622,Silver
16891.75,2021,Toyota,Corolla,7638,Silver
16427.38,2021,Toyota,Corolla,12935,White
15372.72,2021,Toyota,Corolla,14445,White
17205.8,2021,Toyota,Corolla,10287,White
16329.25,2021,Toyota,Corolla,8212,White
17505.93,2021,Toyota,Corolla,5939,White
15899.32,2021,Toyota,Corolla,6312,White
16089.3,2021,Toyota,Corolla,5132,White
16331.68,2021,Toyota,Corolla,6597,White
17283.93,2021,Toyota,Corolla,17119,White
16203.91,2021,Toyota,Corolla,12449,White
16340.31,2021,Toyota,Corolla,8879,White
15514.09,2021,Toyota,Corolla,13489,Black
13964.79,2021,Toyota,Corolla,19134,Blue
16819.48,2021,Toyota,Corolla,8865,Black
15795.74,2021,Toyota,Corolla,13842,Red
16976.02,2021,Toyota,Corolla,11747,Red
13290.29,2021,Toyota,Corolla,17553,Black
16537.16,2021,Toyota,Corolla,9770,Other
16317.14,2021,Toyota,Corolla,8730,Blue
15477.31,2021,Toyota,Corolla,15375,Other
14900.49,2021,Toyota,Corolla,18307,Other
16806.14,2021,Toyota,Corolla,14136,Red
14903.25,2020,Toyota,Corolla,11076,Silver
14893.53,2020,Toyota,Corolla,27569,Silver
14559.73,2020,Toyota,Corolla,24786,Silver
14807.63,2020,Toyota,Corolla,23278,Silver
14939.37,2020,Toyota,Corolla,34136,Silver
15294.04,2020,Toyota,Corolla,17428,Silver
15060.14,2020,Toyota,Corolla,24050,Silver
14397.3,2020,Toyota,Corolla,28365,Silver
15353.27,2020,Toyota,Corolla,27120,Silver
13451.69,2020,Toyota,Corolla,20050,Silver
13805.6,2020,Toyota,Corolla,22054,Silver
15394.31,2020,Toyota,Corolla,14813,Silver
14881.19,2020,Toyota,Corolla,17676,Silver
15969.61,2020,Toyota,Corolla,26552,Silver
14464.15,2020,Toyota,Corolla,35510,Other
15207.55,2020,Toyota,Corolla,16505,Red
17030.94,2020,Toyota,Corolla,26340,Blue
14473.15,2020,Toyota,Corolla,17547,Black
13414.91,2020,Toyota,Corolla,24129,Other
14996.79,2020,Toyota,Corolla,21888,Red
13173.62,2020,Toyota,Corolla,23064,Black
15822.74,2020,Toyota,Corolla,17690,Blue
13496.91,2020,Toyota,Corolla,29330,Other
14431.5,2020,Toyota,Corolla,19087,Black
15202.4,2020,Toyota,Corolla,24982,White
13997.04,2020,Toyota,Corolla,29269,Other
13749.58,2020,Toyota,Corolla,32733,Blue
15282.19,2020,Toyota,Corolla,26503,Blue
14293.14,2020,Toyota,Corolla,28555,Blue
14420.87,2020,Toyota,Corolla,24706,Other
17035.19,2020,Toyota,Corolla,18771,Other
14039.76,2020,Toyota,Corolla,23758,Blue
14912.28,2020,Toyota,Corolla,25117,Black
13595.06,2020,Toyota,Corolla,30535,Blue
15372.81,2020,Toyota,Corolla,27420,Blue
14965.34,2020,Toyota,Corolla,18084,Red
14554.3,2020,Toyota,Corolla,25606,White
15391.1,2020,Toyota,Corolla,17922,White
15924.57,2020,Toyota,Corolla,26817,White
14831.84,2020,Toyota,Corolla,29935,White
16398.32,2020,Toyota,Corolla,24096,White
15402.23,2020,Toyota,Corolla,26553,White
14561.5,2020,Toyota,Corolla,26635,White
17354.96,2020,Toyota,Corolla,24455,White
14435.64,2020,Toyota,Corolla,28956,White
13199.36,2019,Toyota,Corolla,37541,Silver
13981.7,2019,Toyota,Corolla,33752,Silver
14185.14,2019,Toyota,Corolla,35690,Silver
13925.54,2019,Toyota,Corolla,40614,Silver
14213.42,2019,Toyota,Corolla,32780,Silver
13279.37,2019,Toyota,Corolla,32556,Silver
11772.64,2019,Toyota,Corolla,49057,Silver
16342.07,2019,Toyota,Corolla,34626,Silver
13856.35,2019,Toyota,Corolla,56519,Silver
13276.15,2019,Toyota,Corolla,42322,Silver
12891.59,2019,Toyota,Corolla,45235,Silver
14478.92,2019,Toyota,Corolla,28580,Silver
14307.27,2019,Toyota,Corolla,31721,Silver
16517.15,2019,Toyota,Corolla,26942,Silver
13877.42,2019,Toyota,Corolla,37479,White
13252.75,2019,Toyota,Corolla,52658,White
13876.59,2019,Toyota,Corolla,42486,White
14268.32,2019,Toyota,Corolla,26400,White
13933.97,2019,Toyota,Corolla,29170,White
13864.86,2019,Toyota,Corolla,41824,White
12860.8,2019,Toyota,Corolla,41382,White
12019.08,2019,Toyota,Corolla,50598,White
14371.44,2019,Toyota,Corolla,24321,White
16652.62,2019,Toyota,Corolla,14826,White
14633.57,2019,Toyota,Corolla,18625,White
14011.48,2019,Toyota,Corolla,32977,Red
14258.11,2019,Toyota,Corolla,37168,Red
13109.19,2019,Toyota,Corolla,33654,Black
13736.28,2019,Toyota,Corolla,37510,Blue
15319.11,2019,Toyota,Corolla,26357,Other
14650.78,2019,Toyota,Corolla,33249,Red
12749.45,2019,Toyota,Corolla,43874,Other
14343.36,2019,Toyota,Corolla,40211,Red
14804.65,2019,Toyota,Corolla,32568,Black
14184.96,2019,Toyota,Corolla,32269,Black
12029.88,2019,Toyota,Corolla,52597,Other
14589.41,2019,Toyota,Corolla,32174,Silver
13820.67,2019,Toyota,Corolla,37120,Silver
15036.58,2019,Toyota,Corolla,30946,Silver
14234.14,2019,Toyota,Corolla,45223,Silver
14562.89,2019,Toyota,Corolla,40318,Silver
14272.88,2019,Toyota,Corolla,40630,Silver
13984.09,2019,Toyota,Corolla,40888,Silver
14632.83,2019,Toyota,Corolla,30331,Silver
12065.68,2019,Toyota,Corolla,41302,Silver
13759.77,2019,Toyota,Corolla,41520,Silver
14017.62,2019,Toyota,Corolla,36167,Silver
14846.92,2019,Toyota,Corolla,25982,Silver
14483.79,2019,Toyota,Corolla,28052,Silver
14261.29,2019,Toyota,Corolla,39135,Silver
15820.18,2019,Toyota,Corolla,19412,Other
14558.53,2019,Toyota,Corolla,43891,Red
13787.42,2019,Toyota,Corolla,33301,Blue
14160.13,2019,Toyota,Corolla,39011,Black
12986.52,2019,Toyota,Corolla,49059,Other
14009.72,2019,Toyota,Corolla,32063,Black
15858.19,2019,Toyota,Corolla,30478,Blue
13519.05,2019,Toyota,Corolla,34514,Blue
12723.94,2019,Toyota,Corolla,35796,White
13413.1,2019,Toyota,Corolla,25338,White
12975.6,2018,Toyota,Corolla,47931,White
15649.01,2018,Toyota,Corolla,23840,White
14015.37,2018,Toyota,Corolla,44776,White
11788.17,2018,Toyota,Corolla,59594,White
14324.95,2018,Toyota,Corolla,39571,White
13731.4,2018,Toyota,Corolla,51904,White
13312.54,2018,Toyota,Corolla,48298,White
11687.4,2018,Toyota,Corolla,55451,White
12929.16,2018,Toyota,Corolla,32158,White
14774.08,2018,Toyota,Corolla,23192,Silver
16123.75,2018,Toyota,Corolla,30947,Silver
12267.86,2018,Toyota,Corolla,48407,Silver
14377.59,2018,Toyota,Corolla,38738,Silver
11915.06,2018,Toyota,Corolla,44556,Silver
13116.25,2018,Toyota,Corolla,36214,Silver
14532.82,2018,Toyota,Corolla,31275,Silver
13219.74,2018,Toyota,Corolla,54089,Silver
14793.56,2018,Toyota,Corolla,30316,Silver
13798.43,2018,Toyota,Corolla,59505,Silver
15024.81,2018,Toyota,Corolla,24033,Silver
12509.04,2018,Toyota,Corolla,68683,Silver
11819.87,2018,Toyota,Corolla,63683,Silver
14826.13,2018,Toyota,Corolla,45562,Silver
11572.68,2018,Toyota,Corolla,51200,White
13616.88,2018,Toyota,Corolla,51376,White
13213.89,2018,Toyota,Corolla,44850,White
12950.24,2018,Toyota,Corolla,49051,White
14072.95,2018,Toyota,Corolla,33836,White
12683.53,2018,Toyota,Corolla,53980,White
14539.5,2018,Toyota,Corolla,49037,White
15206.1,2018,Toyota,Corolla,32822,White
12844.29,2018,Toyota,Corolla,45970,White
15054.27,2018,Toyota,Corolla,28484,White
11240.17,2018,Toyota,Corolla,72114,White
12229.56,2018,Toyota,Corolla,54827,Other
14023.75,2018,Toyota,Corolla,45119,Blue
14021.01,2018,Toyota,Corolla,54752,Other
12827.37,2018,Toyota,Corolla,41121,Other
13748.67,2018,Toyota,Corolla,40401,Black
9587.02,2018,Toyota,Corolla,68382,Other
12170,2018,Toyota,Corolla,46844,Black
10938.22,2018,Toyota,Corolla,73922,Other
13404.55,2018,Toyota,Corolla,38833,Red
12055.45,2018,Toyota,Corolla,60918,Blue
14401.41,2018,Toyota,Corolla,36471,Other
13239.57,2018,Toyota,Corolla,47362,Silver
11255.02,2018,Toyota,Corolla,40766,Silver
13459.26,2018,Toyota,Corolla,46937,Silver
13879.91,2018,Toyota,Corolla,51449,Silver
15104.48,2018,Toyota,Corolla,35772,Silver
12411.95,2018,Toyota,Corolla,51921,Silver
14247.68,2018,Toyota,Corolla,64995,Silver
10999.93,2018,Toyota,Corolla,71211,Silver
12841.21,2018,Toyota,Corolla,51300,Silver
13390.29,2018,Toyota,Corolla,47502,Silver
10763.49,2018,Toyota,Corolla,60338,Silver
12568.69,2018,Toyota,Corolla,51196,Silver
10556.2,2018,Toyota,Corolla,55527,Silver
11778.06,2018,Toyota,Corolla,67241,Silver
12102.1,2018,Toyota,Corolla,56264,Red
13292.79,2018,Toyota,Corolla,45979,Blue
12511,2018,Toyota,Corolla,60011,Black
14531.68,2018,Toyota,Corolla,47602,Black
15237.15,2018,Toyota,Corolla,39690,Blue
13419.97,2018,Toyota,Corolla,39464,Black
12250.13,2018,Toyota,Corolla,28491,Blue
10027.79,2018,Toyota,Corolla,65718,Other
11935,2018,Toyota,Corolla,56245,White
12729.48,2018,Toyota,Corolla,54766,White
12465.42,2018,Toyota,Corolla,63969,Red
14863.19,2018,Toyota,Corolla,32344,Red
12925.05,2018,Toyota,Corolla,48245,Red
12122.57,2018,Toyota,Corolla,52123,Blue
12707.96,2018,Toyota,Corolla,54244,Other
14387.09,2018,Toyota,Corolla,36376,Red
13224.44,2018,Toyota,Corolla,49824,Blue
13568.77,2018,Toyota,Corolla,47332,Blue
14025.47,2018,Toyota,Corolla,44040,Red
12195.96,2018,Toyota,Corolla,64044,Other
11483.64,2018,Toyota,Corolla,56983,Other
12343.02,2018,Toyota,Corolla,57106,Red
12635.73,2018,Toyota,Corolla,60707,Blue
12653.2,2018,Toyota,Corolla,43983,Other
11157.26,2018,Toyota,Corolla,44854,Other
16413.6,2021,Honda,Civic,16989,Silver
18352.44,2021,Honda,Civic,9987,Silver
17781.6,2021,Honda,Civic,9267,Silver
17257.25,2021,Honda,Civic,13201,Silver
16645.01,2021,Honda,Civic,13060,Silver
16857.05,2021,Honda,Civic,9375,Silver
17805.02,2021,Honda,Civic,14110,Silver
16599.41,2021,Honda,Civic,14169,Silver
17702.75,2021,Honda,Civic,12371,Silver
16388.36,2021,Honda,Civic,12651,Silver
16528.5,2021,Honda,Civic,8566,Silver
17113.67,2021,Honda,Civic,16663,Silver
17396.79,2021,Honda,Civic,14202,Silver
17085.34,2021,Honda,Civic,8842,White
17291.98,2021,Honda,Civic,11759,White
16593.17,2021,Honda,Civic,11215,White
17189.5,2021,Honda,Civic,5451,White
15577.15,2021,Honda,Civic,15992,White
16040.02,2021,Honda,Civic,9913,White
16869.86,2021,Honda,Civic,10189,White
17199.87,2021,Honda,Civic,6126,Black
17392.41,2021,Honda,Civic,7061,Blue
17122.88,2021,Honda,Civic,11653,Black
14640.76,2021,Honda,Civic,16807,Blue
17554.55,2021,Honda,Civic,11508,Other
17398.18,2021,Honda,Civic,14002,Red
16118.91,2021,Honda,Civic,13430,Black
18252.76,2021,Honda,Civic,10657,Red
15586.74,2021,Honda,Civic,17733,Other
17924.77,2021,Honda,Civic,14111,Black
16288.15,2021,Honda,Civic,13217,Blue
17171.58,2021,Honda,Civic,6237,Blue
16347.17,2020,Honda,Civic,27850,Silver
14771.38,2020,Honda,Civic,35171,Silver
16065.37,2020,Honda,Civic,18699,Silver
16624.57,2020,Honda,Civic,22511,Silver
16509.15,2020,Honda,Civic,15272,Silver
16717.33,2020,Honda,Civic,23715,Silver
18318.32,2020,Honda,Civic,19087,Silver
16299.71,2020,Honda,Civic,21925,Black
15206.04,2020,Honda,Civic,18581,Black
14765.6,2020,Honda,Civic,35099,Red
15579.51,2020,Honda,Civic,19526,Blue
16060.68,2020,Honda,Civic,25164,Other
16262.41,2020,Honda,Civic,17888,Black
15730.36,2020,Honda,Civic,14561,Other
17272.53,2020,Honda,Civic,24950,Blue
14803.84,2020,Honda,Civic,33122,White
16888.02,2020,Honda,Civic,20132,White
15795.98,2020,Honda,Civic,21201,Other
16403.4,2020,Honda,Civic,17212,Other
15544.26,2020,Honda,Civic,23504,Blue
15620.78,2020,Honda,Civic,16022,Blue
14889.85,2020,Honda,Civic,23601,Red
17248.33,2020,Honda,Civic,19766,Black
15347.98,2020,Honda,Civic,23061,Other
15179.69,2020,Honda,Civic,32235,Red
14673.77,2020,Honda,Civic,31426,Black
16063.98,2020,Honda,Civic,18312,Black
15644.7,2020,Honda,Civic,24876,Red
15679.67,2020,Honda,Civic,28832,Blue
14810.15,2020,Honda,Civic,41670,Blue
15526.54,2020,Honda,Civic,31071,Blue
17157.16,2020,Honda,Civic,8214,Red
16223.68,2020,Honda,Civic,23612,Silver
14699.09,2020,Honda,Civic,31192,Silver
15493.97,2020,Honda,Civic,21239,Silver
16255.87,2020,Honda,Civic,15905,White
15950.69,2020,Honda,Civic,27675,White
15344.08,2020,Honda,Civic,25112,White
13473.9,2020,Honda,Civic,21583,White
16488.25,2020,Honda,Civic,16745,White
15051.13,2019,Honda,Civic,31135,Silver
15306.29,2019,Honda,Civic,42127,Silver
14455.82,2019,Honda,Civic,30019,Silver
14238.01,2019,Honda,Civic,39684,Silver
14546.09,2019,Honda,Civic,30778,Silver
13155.51,2019,Honda,Civic,45594,Silver
13986.87,2019,Honda,Civic,36775,Black
14098.93,2019,Honda,Civic,40135,Black
15041.91,2019,Honda,Civic,31980,Other
14834.85,2019,Honda,Civic,18763,Blue
15624.7,2019,Honda,Civic,36767,Other
14923.23,2019,Honda,Civic,33919,Red
14019.72,2019,Honda,Civic,38947,Black
12840.96,2019,Honda,Civic,49551,Black
15570.3,2019,Honda,Civic,34398,White
13104.31,2019,Honda,Civic,43683,White
14631.29,2019,Honda,Civic,34572,Blue
14537.31,2019,Honda,Civic,35376,Red
13416.56,2019,Honda,Civic,37799,Red
14486.8,2019,Honda,Civic,31182,Black
14096.84,2019,Honda,Civic,36206,Red
15305.03,2019,Honda,Civic,28943,Black
16360.75,2019,Honda,Civic,33231,Blue
14415.16,2019,Honda,Civic,41567,Blue
14397.93,2019,Honda,Civic,23216,Red
12614.69,2019,Honda,Civic,45358,Other
15271.62,2019,Honda,Civic,33181,Red
13219.61,2019,Honda,Civic,44786,Other
15516.31,2019,Honda,Civic,21071,Black
14608.87,2019,Honda,Civic,28489,Red
12837.27,2019,Honda,Civic,53389,Other
15211.15,2019,Honda,Civic,25595,Silver
13320.6,2019,Honda,Civic,55913,Silver
13991.04,2019,Honda,Civic,39427,Silver
14289.69,2019,Honda,Civic,26179,White
15500.69,2019,Honda,Civic,35367,White
12960.32,2019,Honda,Civic,45478,White
14330.15,2019,Honda,Civic,35298,White
14979.24,2019,Honda,Civic,40355,White
14460.61,2019,Honda,Civic,29921,Silver
13818.21,2019,Honda,Civic,36545,Silver
13804.46,2019,Honda,Civic,45727,Silver
16737.98,2019,Honda,Civic,20676,Silver
13883.4,2019,Honda,Civic,36831,Silver
13610,2019,Honda,Civic,38960,White
15255.1,2019,Honda,Civic,37431,White
13940.51,2019,Honda,Civic,44675,White
15502.48,2019,Honda,Civic,40017,White
14764.73,2019,Honda,Civic,28207,White
12883.7,2019,Honda,Civic,50292,White
15001.8,2019,Honda,Civic,35857,White
14632.07,2019,Honda,Civic,29696,White
14338.04,2019,Honda,Civic,27433,White
12814.11,2019,Honda,Civic,38659,White
16783.25,2019,Honda,Civic,22909,White
12916.01,2019,Honda,Civic,44170,Blue
15459.9,2019,Honda,Civic,38838,Black
13669.28,2019,Honda,Civic,46181,Red
15996.04,2019,Honda,Civic,33301,Red
14640.01,2019,Honda,Civic,39484,Red
13072.53,2019,Honda,Civic,56789,Other
15350.57,2019,Honda,Civic,31675,Red
16429.23,2019,Honda,Civic,32035,Other
12493.17,2019,Honda,Civic,41889,Other
12853.98,2019,Honda,Civic,44949,Blue
13892.76,2019,Honda,Civic,48174,Blue
15352.97,2019,Honda,Civic,27703,Black
16244.58,2018,Honda,Civic,25088,Silver
14274.68,2018,Honda,Civic,43023,Silver
13525.71,2018,Honda,Civic,44988,Silver
10513.38,2018,Honda,Civic,80121,Silver
14182.62,2018,Honda,Civic,35988,Silver
12732.43,2018,Honda,Civic,55637,Silver
12796.26,2018,Honda,Civic,60498,Silver
15071.57,2018,Honda,Civic,42055,Silver
12200.42,2018,Honda,Civic,59237,Silver
12660.32,2018,Honda,Civic,62922,Silver
12792.35,2018,Honda,Civic,49449,Silver
15430.66,2018,Honda,Civic,34369,Silver
15017.77,2018,Honda,Civic,42702,Silver
14922.69,2018,Honda,Civic,41964,Silver
14184.6,2018,Honda,Civic,36508,White
14499.02,2018,Honda,Civic,35347,White
15263.45,2018,Honda,Civic,53866,White
12966.28,2018,Honda,Civic,54671,White
13342.44,2018,Honda,Civic,52064,White
13908.93,2018,Honda,Civic,51345,White
15869.61,2018,Honda,Civic,34242,White
14219.26,2018,Honda,Civic,36012,White
14264.29,2018,Honda,Civic,35857,White
13450.54,2018,Honda,Civic,52226,White
12347.67,2018,Honda,Civic,44609,White
9928.52,2018,Honda,Civic,73654,Red
12892.54,2018,Honda,Civic,39296,Red
14740.82,2018,Honda,Civic,26104,Blue
12602.14,2018,Honda,Civic,53354,Red
13174.82,2018,Honda,Civic,47870,Blue
13210.22,2018,Honda,Civic,51937,Red
15179.02,2018,Honda,Civic,20347,Red
13507.32,2018,Honda,Civic,40697,Red
15171.28,2018,Honda,Civic,38896,Red
14166.49,2018,Honda,Civic,37670,Blue
13461.7,2018,Honda,Civic,41805,Other
14395.01,2018,Honda,Civic,43974,Silver
14786.27,2018,Honda,Civic,32444,Silver
13094.6,2018,Honda,Civic,51312,Silver
13738.83,2018,Honda,Civic,44217,Silver
13711.6,2018,Honda,Civic,63492,Silver
12726.88,2018,Honda,Civic,63953,Silver
14898.93,2018,Honda,Civic,45653,Silver
13123.82,2018,Honda,Civic,45906,Silver
13981.97,2018,Honda,Civic,43067,Silver
14626.92,2018,Honda,Civic,40956,Silver
14268.37,2018,Honda,Civic,49581,Silver
15254.24,2018,Honda,Civic,29869,Silver
12678.43,2018,Honda,Civic,65089,Silver
13698.49,2018,Honda,Civic,61663,Silver
13773.08,2018,Honda,Civic,42545,Blue
13302.94,2018,Honda,Civic,52141,Red
13439.65,2018,Honda,Civic,34786,Red
13523.98,2018,Honda,Civic,43229,Blue
16346.2,2018,Honda,Civic,28632,Red
11344.94,2018,Honda,Civic,56843,Blue
14286.04,2018,Honda,Civic,44284,Blue
12109.07,2018,Honda,Civic,56474,Red
12236.25,2018,Honda,Civic,53450,Red
12767.7,2018,Honda,Civic,61113,Black
13463.03,2018,Honda,Civic,48421,White
13862.61,2018,Honda,Civic,42769,Other
9467.37,2018,Honda,Civic,74955,Red
13792.47,2018,Honda,Civic,46410,Red
13438.56,2018,Honda,Civic,40169,Blue
14290.8,2018,Honda,Civic,42691,Black
12569.42,2018,Honda,Civic,33598,Red
15336.94,2018,Honda,Civic,14014,Black
12316.32,2018,Honda,Civic,64344,Red
13819.16,2018,Honda,Civic,37496,Red
13533.89,2018,Honda,Civic,42343,Black
11137.22,2018,Honda,Civic,69493,Blue
13976.06,2018,Honda,Civic,43916,White
13180.19,2018,Honda,Civic,43448,White
11981.5,2018,Honda,Civic,62829,White
12130.89,2018,Honda,Civic,56912,White
16258.84,2018,Honda,Civic,40329,White
13163.08,2018,Honda,Civic,49792,White
13437.6,2018,Honda,Civic,41473,White
11532.66,2018,Honda,Civic,56913,White
15030.66,2018,Honda,Civic,37739,White