Phone,Not
0.596,0.62
0.708,0.523
0.646,0.652
0.725,0.652
0.649,0.506
0.601,0.536
0.54,0.69
0.651,0.567
0.598,0.59
0.731,0.605
0.567,0.553
0.617,0.556
0.643,0.732
0.627,0.623
0.611,0.596
0.606,0.583
0.629,0.698
0.631,0.704
0.618,0.647
0.682,0.567
0.605,0.563
0.593,0.488
0.7,0.594
0.636,0.627
0.636,0.636
0.663,0.545
0.708,0.551
0.599,0.569
0.649,0.587
0.627,0.675
0.589,0.619
0.611,0.604
0.616,0.623
0.711,0.656
0.608,0.608
0.706,0.625
0.672,0.669
0.679,0.492
0.643,0.548
0.672,0.654
0.619,0.632
0.626,0.728
0.7,0.618
0.598,0.555
0.645,0.571
0.637,0.592
0.643,0.531
0.585,0.527
0.735,0.643
0.629,0.552
0.686,0.578
0.671,0.604
0.701,0.621
0.705,0.604
0.642,0.689
0.592,0.563
0.648,0.696
0.608,0.61
0.704,0.603
0.689,0.537
0.625,0.506
0.627,0.709
0.631,0.657
0.684,0.587
0.682,0.612
0.616,0.606
0.622,0.527
0.672,0.54
0.642,0.603
0.654,0.609
0.714,0.613
0.604,0.573
0.758,0.613
0.613,0.684
0.571,0.685
0.66,0.604
0.667,0.572
0.598,0.523
0.666,0.603
0.671,0.582
0.618,0.596
0.573,0.531
0.669,0.526
0.626,0.598
0.635,0.501
0.572,0.66
0.737,0.596
0.572,0.572
0.621,0.583
0.544,0.701
0.739,0.642
0.615,0.653
0.656,0.707
0.626,0.656
0.652,0.588
0.634,0.566
0.643,0.631
0.69,0.624
0.656,0.63
0.697,0.592
0.586,0.537
0.642,0.582
0.617,0.537
0.657,0.627
0.645,0.623
0.573,0.634
0.647,0.63
0.709,0.592
0.608,0.571
0.654,0.586
0.717,0.644
0.586,0.604
0.595,0.547
0.688,0.585
0.664,0.538
0.64,0.643
0.646,0.623
0.697,0.543
0.749,0.629
0.63,0.606
0.674,0.513
0.695,0.674
0.659,0.548
0.681,0.596
0.636,0.638
,0.66
,0.605
,0.608
,0.571
,0.57
,0.554
,0.655
,0.517
,0.706
,0.629
,0.611
,0.605
,0.631
,0.512
,0.541
,0.61
,0.554
,0.632
,0.615
,0.544